"","text"
"9682","Daily vaccine report for Massachusetts

#WBZ #coronavirus https://t.co/Hathrx7Kbe"
"9683","Here’s where we were last Saturday. So week-over-week:

-New cases: <U+0001F4C9>
-Active cases: <U+0001F4C9>
-New deaths: <U+0001F4C9>
-Hospitalizations: <U+0001F4C9>
-Positive rate: <U+0001F4C9>

Let’s go.

#WBZ #coronavirus https://t.co/BneJfnK9aF"
"9684","Continued improvement in the state’s #coronavirus numbers:

-113 new cases (121 yesterday)
-2,792 active cases (2,967 yesterday)
-2 new deaths (8 yesterday)
-136 hospitalizations (150 yesterday)
-0.44 percent positive (0.47 yesterday)

#WBZ https://t.co/wj4vhNWYyM"
"9685","Watching New #COVID19 Hospital Admissions Closely

$aapl $ba $bhc $crm $dis $f $ge $ko $pep $mnst $brk $amzn $kr $tst $wmt $cost $mcd $qsr $cmg $hlf $shak $ms $gs $jpm $bac $c $cs $nflx $googl $mrk $jnj $mrk $qqq $btc $iep $msft $fb $dal $cpe $ads $amzn $pfe $mrna $azn $bmy $lly https://t.co/9nPc7JTxtx"
"9686","You CANNOT attend you grandparents funeral....

#COVID19 https://t.co/dt77JKt0M2"
"9687","Kudos to #Sabah, #Melaka and #Selangor (maybe some other states) for intensified mass #Covid19 screenings over the last month to weed out the positives. Better to catch the infected ones early for treatment and prevention of further #pandemic spread."
"9688","Today, my 14yo got her first dose of Pfizer. I got my first AZ dose the end of April. Still trying to get an appointment for my soon to be 12yo son. There’s light at the end of the tunnel. #COVID19 #VaccinesWork #Pfizer #AstraZeneca https://t.co/QRmXoqgHaq"
"9689","Anyone age 12 &amp; up can get a #COVID19 vaccine, regardless of insurance or immigration status. 
 
The federal government provides vaccinations at no cost. Proof of citizenship is not required for vaccination. Visit https://t.co/W6EKbGAR82. https://t.co/RwdmRtY71r"
"9690","@scottlanders @EpiEllie @edyong209 Agree with you — but note that plexiglass is not protective against #COVID19 &amp; is generally performative (&amp; an unwarranted expense; money could be applied to real protections). #COVIDisAirborne"
"9691","@KristiNoem @southdakota We would, but a lot of us are dying of #COVID19. #SouthDakota"
"9692","https://t.co/Mzcy4DVFdm Finally! The IVERMECTIN truth is spreading like a wild fire
The water is rising and the damn will break soon and it will be catastrophic. 
 #ivermectinworks #IvermectinSavesLives #ivermectina #ivermectin #ivermectin #ivermectin 
 #COVID19 #CovidVaccine"
"9693","Now time to keep up the fight.
#maskoff #COVID19 #Florida https://t.co/5RjFjN656B"
"9694","Monoclonal antibody treatment for COVID-19 could be a game changer - The Hindu https://t.co/CsB5FU1RdF #Coronavirus #lockdown #lockdownextension #singledayspike #Covaxin"
"9695","#covid19 isn't over. It is better but we ain't out of the woods yet. Be safe. Be thoughtful. https://t.co/g15N8XyfEB"
"9696","@AssusReamus Trump - #TrumpIsALoser
Republican governors with DeSantis and  Abbott leaning the way. They were actively killing their constituents.

#covid19 is real. It is still killing Americans"
"9697","Remain Socially United to Combat the Coronavirus https://t.co/7JXmatRDH4 #unite #socially #COVID19 #bloggerstribe"
"9698","<U+0001F4E3>Attention Lucas County Residents!
Did the mandated #COVID19 preventative measures make a difference?

A student-led research project is requesting ppl to complete a brief survey to possibly inform future public health interventions.https://t.co/kedxeSusus"
"9699","#InterMilan director - #Eriksen has not had #COVID19 and was not #vaccinated  - his medical condition despite false reports is not linked to #vaccine

https://t.co/kZEgYXf18m"
"9700","#Eriksen #vaccine #CovidVaccine #coronavirus #COVID19 hope he pulls through https://t.co/BknSGH92Qd"
"9701","Japan's control on Covid-19? Yeah....right. #factcheck #COVID19 @TheEconomist 

Daily chart – Auckland has become the world’s most liveable city https://t.co/FFgUfMdlpq"
"9702","What have we learned?

After two years are we going to move forward or just hide in the illusory safety of denial? 
#COVID19 
#January6th 
#racism"
"9703","#COVID19  Linked to Alzheimer's Disease-Like Cognitive Impairment - Neuroscience News https://t.co/X4yivHNvCL"
"9704","This thread will break your heart. 
#COVID19 https://t.co/UDhvYUKVix"
"9705","76% of #CIOs report increased demand for new digital products or services during #covid19.

To drive #innovation &amp; #growth, leaders must:
<U+27A1><U+FE0F>Adopt smarter tech practices

<U+27A1><U+FE0F>Invest in interlinked technology systems

<U+27A1><U+FE0F>Upgrade legacy technologies
https://t.co/B0oaFpflGM @Gartner_inc"
"9706","#Budget2021 has target to procure #covid19 #vaccines to get 100 million people vaccinated by June'22. 

Too ambitious? <U+0001F914> 

#coronavirus #Pakistan #COVID19Vaccine"
"9707","Good grief #Kelowna #Mission, who votes for these small minded people? #bcpoli #covid19 https://t.co/UwNMesd80s"
"9708","If YOU think that Andy Slavitt has done an EXEMPLARY job as President Biden's Adviser for #COVID19 please reply with <U+2764><U+FE0F>

<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2665><U+FE0F> https://t.co/J7msC5Hrca"
"9709","A world where rich countries have achieved high #COVID19 vaccination levels but LMICs haven’t yet is a world from which new &amp; dangerous mutations will continue to emerge &amp; threaten everyone #oneworld https://t.co/bZbtD2ZZ4A"
"9710","So my friend, who believed in zinc, sunlight, and exercise over any #vaccine, tested #COVID19 free a few days ago after about 10 days of feeling shitty. Seems almost clear of the resulting  pneumonia, now has a bacterial infection fscking up his ability to walk."
"9711","Meanwhile yours truly took the second jab on Saturday 12th. Will continue to wear face covering &amp; keep distance. This pandemic is still very much with us. #COVID19 #Kilburn"
"9712","@ethanmwolf and pass legislation that made it easier for the gunmen to obtain firearms &amp; go on a shooting spree, because not enough Texans died from #COVID19 &amp; #TexasFreeze to ensure @GovAbbott &amp; #DanPatrick win #2022Election by default. #VoteBlue2022 
#AButt"
"9713","Rhodes to charge $1500 to non vaccinated students to help pay for testing - I love it. But keen to know why you wouldn’t, please comment! #COVID19 #socialresponsibility 

https://t.co/3KnrbXivwA"
"9714","3 weeks from ~1,500 hospitalisations per day at current rate of growth. (November level of admissions)

4 weeks from 5k per day. (higher than any time so far)

That means we may be as little as 2 weeks from the point of no return on some degree of NHS overwhelm.

#COVID19"
"9715","Join us this Friday 18 June at 17.30 CEST for our Open Online Briefing to review the state of the #COVID19 pandemic &amp; response priorities. The updates by Dr. @davidnabarro are based on the analyses &amp; guidance provided by the @WHO: https://t.co/sF9y94hmtA #InThisTogether @livepens https://t.co/XlvJ2cK5rq"
"9716","Will #Australia join Canada in approving the mixing of the #AstraZeneca and #Pfizer #COVID19 vaccines? https://t.co/5hHsGKUuvb"
"9717","@ZubyMusic @holly_char_ Florida is a different situation, very tourist and “snow bird” oriented—millions—where they show up then leave after a while to go back to where ever they came from, likely take disease with them.

#COVID19 #vaccinations #coronavirus #CoronaVirusUpdates"
"9718","Heroes not bullies.

Explain to your #children that #COVID19 has nothing to do with the way someone looks, where they are from, or what language they speak. 

Tell your child that we can be compassionate to people who are sick &amp; those who are caring for them. 
#ParentingMonth https://t.co/rKsiGu1AS9"
"9719","if you’re asking why there’s a vaccine for COVID but not for cancer you clearly didn’t pass high school biology #COVID19 #GetVaccinated"
"9720","I'm just not getting the rush to 'return to normal' given that less than 1/2 of the US population are fully vaccinated. https://t.co/XRT3ESb3tn #COVID19 #CovidVaccine https://t.co/u4zI6zmJhk"
"9721","#Canada<U+0001F1E8><U+0001F1E6>daily trend 1399<U+2B07><U+FE0F>62<U+0001F44D>
East.prov.#COVID19 June 12:
#NB:2291 total7<U+20E3>new<U+0001F465>,45 dead<U+2B06><U+FE0F>1<U+0001F6A8>,93 active<U+2B07><U+FE0F>4
#PEI:206 total0<U+20E3>new<U+0001F44D>,0<U+20E3>dead<U+0001F44D>,4 active
#NL:1374 total6<U+20E3>new<U+0001F465><U+0001F6EC>,7 dead,40 active<U+2B07><U+FE0F>14
#NS:5736** total8<U+20E3>** new<U+0001F465><U+0001F6EC><U+2753>,89 dead,145 active
Hosp:NB4<U+20E3>,NS1<U+20E3>0<U+20E3>"
"9722","#Canada<U+0001F1E8><U+0001F1E6>daily trend 1399<U+2B07><U+FE0F>62<U+0001F44D>
East.prov.#COVID19 June 12 notes:
** In Nova Scotia, I reported the two late-reported cases yesterday in my totals, so my daily number is down 2 from the current report.  Also, the total case count has been adjusted, fixes the problem noted Friday."
"9723","@TheDemocrats @POTUS Sorry, America missed that boat
China has led the way with #vaccine sharing
and #COVID19 management
on all counts USA has double dunce status"
"9724","Nothing concerns me more than seeing people improperly wash their hands. 

Didn’t #covid19 teach everyone proper hygiene??"
"9725","Drink Japanese tea and kill the new coronavirus!!

#COVID19"
"9726","@Thom_Hartmann
#DeltaVariant #COVID19 cases doubled in less than a week in the #UK , substantial risk of a third wave. #IndianVariant
https://t.co/43dG7Rdyax"
"9727","#coronavirus w/b 6th June https://t.co/w2ZYonQ4f5"
"9728","IN MEMORY OF COVID -19 HEROES FEAT: PRODUCER SEAN P. https://t.co/WrOf6b1U3y 

 #frontlineworkers #COVID19 #FrontlineWorkers #FrontLineWorkers #FrontlineHeroes #TrendingNow #StaySafe #ThankYou #thankyou #tribute #depression #Depression #mindfulness #selfcare #Abuse #ADD #Nurses"
"9729","@Commzard1 @GeorgeTakei Good overall? Are you f—king serious? He downplayed and lied to us about #COVID19 which contributed significantly to over 500k American deaths."
"9730",".@BorisJohnson @JustinTrudeau @POTUS @EUCouncil @RegSprecher @ScottMorrisonMP the world needs #COVID19 vaccine access now. The #G7 must step up to #EndThePandemic for all by sharing 1 billion doses through #COVAX by September <U+0001F30D> https://t.co/5YpqP6wl18"
"9731","Sunday 13 June – coronavirus cases in Queensland:

• 0 new locally acquired
• 7 overseas acquired
• 20 active cases
• 1,650 total cases
• 2,698,174 tests conducted

Sadly, seven people with COVID-19 have died. 1,603 patients have recovered.

#covid19 https://t.co/rcBoO3hEPd"
"9732","A quick 10-minute cartoon on how states are hiding COVID death data! 

#CoronaVirusUpdates #COVID19 https://t.co/Z6fd4o3CLF"
"9733","Combating COVID-19 Vaccine Misinformation #COVID19vaccine #COVIDvaccine #COVID19 #COVID Please click on the link: https://t.co/k3R31TsPhW https://t.co/mUr3NrC6pU"
"9734","https://t.co/8Zsc4HoGUB

Alex Jones Show – 06/12/2021 – Emergency Saturday Broadcast! CDC Confirms Vaccines Triggering Massive Side Effects &amp; Death

#AlexJonesShow #Infowars #MAGA #Trump #AlexJonesWasRight #Biden #COVID19 
#DemocratsAreDestroyingAmerica
#TRUMP2024ToSaveAmerica"
"9735","My one Ontario thought reading this excellent and terrifying thread re: #DeltaVariant 

If #DougFord doesn’t get his act together to plan &amp; spend the money for a #SafeSeptember, we *will* see sick and dead children. By September, who knows what #COVID19 VOC we’ll b dealing with. https://t.co/FJbNMJ8tmw"
"9736","Fully vaccinated!   #gotthevax #COVID19 #vaccinated https://t.co/x1zDbgEuwS"
"9737","#coronavirus w/b 6th June https://t.co/asEhrzcCVm"
"9738","""#AIDS taught us epidemiologic humility: There is only so much we can do. But we can do a lot. As we scale up to #vaccine increasing numbers of individuals against #COVID19, we must understand that the #pandemic is not over here until it's over everywhere...""<U+2B07><U+FE0F>
#SARSCoV2 https://t.co/q9elgb7Ov2"
"9739","Never forget how the pandemic started <U+0001F602> #Art #Oil #canvasart #corona #covid19 #panik #toiletpaper https://t.co/NcsvsVOTUB"
"9740","Referring to the millions who've died from #COVID19, @WHO DG @DrTedros told #G7 leaders that ""the respect these people deserve is knowing what the origin of this virus is, so we can prevent it from happening again."" We must all rally behind his leadership. https://t.co/hXdcY3AYkH"
"9741","The world should have listened to Australian PM @ScottMorrisonMP when he called last year for a full #COVID19 origins investigation &amp; stood more strongly behind #Australia when #China cut trade as a result. Join me calling for a full investigation now. #G7 https://t.co/clu5siuseR"
"9742","Tokyo Olympics: Obiena eyes #COVID19 vaccination after Games https://t.co/k3I0GxOWQt"
"9743","In case you thought #COVID19 was over... https://t.co/2iC3SmBYlG"
"9744","In the last 24 hours:

In Montana:
0 new cases
0 deaths
112,761 total cases
1,641 total deaths
628 active
110,492 recovered

In the USA:
7,474 new cases
302 deaths
34,313,920 total cases
615,034 total deaths
5,318,590 active
28,380,296 recovered

#Montana #COVID19 #Python"
"9745","So we must take the Russian jab because it suits your political agenda, even if said to be less effective against the SA covid variant? Gtfoh<U+0001F644>#Covid19"
"9746","Feeling #anxious? <U+2705>
Need to #CalmDown? <U+2705>

Studies show that petting your dog or cat can help reduce blood pressure, elevate your mood &amp; #ReduceStress!

It’s good for our #pets, too!

#CACounties #California #COVID19 #MentalHealth #FurFamily #MentalHealthIsHealth #Anxiety https://t.co/4GDqhoGbjo"
